wine_url,collected
https://www.vivino.com/GB/en/muraro-della-venezie-pinot-grigio/w/7490670,False
https://www.vivino.com/GB/en/weingut-faber-freiburg-ihringer-winklerberg-cabernet-dorsa-trocken/w/7490673,False
https://www.vivino.com/GB/en/tenimenti-civa-vigneto-bellazoia-grand-cru-single-vineyard-sauvignon/w/7490675,False
https://www.vivino.com/GB/en/tenimenti-civa-vigneto-bellazoia-grand-cru-single-vineyard-refosco-dal-peduncolo-rosso/w/7490679,False
https://www.vivino.com/GB/en/stever-hill-vineyards-old-barn-red-dry/w/7490685,False
https://www.vivino.com/GB/en/sail-the-ship-vineyard-gokigen-red/w/7490687,False
https://www.vivino.com/GB/en/coco-farm-cocoromi-series-mv-siesta-shiesuta/w/7490693,False
https://www.vivino.com/GB/en/cantina-giorni-arioso/w/7490698,False
https://www.vivino.com/GB/en/zlaten-rozhen-melnishki-cepage/w/7490702,False
https://www.vivino.com/GB/en/ivan-buhac-sauvignon/w/7490703,False
https://www.vivino.com/GB/en/aldegheri-corvina-veronese-rosso-biologico/w/7490705,False
https://www.vivino.com/GB/en/zlaten-rozhen-exlusive-lot-merlot/w/7490707,False
https://www.vivino.com/GB/en/cantina-giorni-plinia-del-calace/w/7490708,False
https://www.vivino.com/GB/en/azure-hill-chambourcin-rose/w/7490711,False
https://www.vivino.com/GB/en/les-vignerons-de-latour-de-france-vieilles-vignes-carignan/w/7490712,False
https://www.vivino.com/GB/en/chateau-de-valcombe-pastel-rose/w/7490718,False
https://www.vivino.com/GB/en/sunstone-twentyfive-th-anniversary-cuvee/w/7490722,False
https://www.vivino.com/GB/en/jacques-pougeoise-fils-rose-vertus-brut-champagne-premier-cru/w/7490723,False
https://www.vivino.com/GB/en/dieter-darmstadt-grauer-burgunder-trocken/w/7490727,False
https://www.vivino.com/GB/en/monegal-cerda-cava-semi-seco/w/7490734,False
https://www.vivino.com/GB/en/chateau-tamagne-blanc-rkatsiteli-miuller-turgau-rkatsiteli-muller-thurgau/w/7490740,False
https://www.vivino.com/GB/en/maso-thaler-gewurztraminer/w/7490741,False
https://www.vivino.com/GB/en/pierre-de-montigner-bordeaux-baron-de-vatoit-rouge-sec/w/7490743,False
https://www.vivino.com/GB/en/chateau-ministre-clos-raphael-vermentino-passerille/w/7490748,False
https://www.vivino.com/GB/en/la-coume-lumet-brut-nature/w/7490752,False
https://www.vivino.com/GB/en/casa-d-arrochella-reserva/w/7490754,False
https://www.vivino.com/GB/en/guillaume-gangloff-l-esprit-rose/w/7490756,False
https://www.vivino.com/GB/en/winnica-grono-rubinowe/w/7490759,False
https://www.vivino.com/GB/en/balmoral-milberit-parcelas-seleccionadas/w/7490781,False
https://www.vivino.com/GB/en/dogarina-millesimato-valdobbiadene-prosecco-conegliano-valdobbiadene-prosecco/w/7490789,False
https://www.vivino.com/GB/en/bonifazi-conterio-terre-pientine-bianco/w/7490795,False
https://www.vivino.com/GB/en/chateau-les-anges-bordeaux/w/7490798,False
https://www.vivino.com/GB/en/weingut-daniel-theisen-gelber-muskateller-feinherb/w/7490803,False
https://www.vivino.com/GB/en/russian-chapel-hills-winery-rose/w/7490806,False
https://www.vivino.com/GB/en/it-tenuta-col-sandago-cuvee/w/7490836,False
