year,id,wine_id,vintage_ratings_count,vintage_ratings_average
2018,166599485,9050863,62,3.8
2019,166599797,9050992,22,3.6
2020,166739860,9051431,15,4.0
2019,166601240,9051431,32,3.9
2009,166605654,9052910,55,3.7
2018,166605766,9052964,17,4.2
2018,166605870,9053007,52,3.8
2020,167164139,9053040,70,3.8
2019,166605943,9053040,109,3.8
2018,166606108,9053117,23,4.4
2019,166680657,9053150,10,3.7
2018,166606173,9053150,14,4.0
2019,166647322,9053237,81,3.8
2020,166606856,9053451,42,4.1
2018,166606977,9053501,31,3.7
2019,166606999,9053512,19,3.4
2013,166661615,9053545,10,3.7
2018,166607635,9053774,19,3.2
2019,166607660,9053781,162,3.7
2017,166682238,9053781,29,3.7
2018,166607665,9053783,58,4.1
2015,166684667,9053909,12,3.8
2020,166609165,9054276,15,3.9
2019,166614182,9055943,32,3.8
2018,166559199,9056010,56,3.7
2018,166614433,9056061,48,4.3
2020,166614479,9056084,10,3.5
2018,166614582,9056128,12,4.2
2018,166614636,9056154,21,3.4
2019,166614760,9056208,308,3.8
2015,166614781,9056218,60,3.6
2018,166614883,9056266,14,3.8
2019,167455995,9056413,12,4.6
2019,166615614,9056530,15,4.0
2019,166615845,9056601,67,3.9
2018,166675085,9056601,25,4.3
2019,166762216,9056666,91,3.5
2019,166616082,9056685,20,3.9
2018,166616312,9056771,69,4.2
2019,166788777,9057089,17,4.0
2018,166672091,9057089,19,4.1
2018,166617376,9057121,107,4.1
2018,166665632,9057641,12,3.9
2020,166689221,9059376,287,4.0
2019,166624904,9059376,300,3.9
2019,166626309,9059938,12,3.9
2019,166704523,9060140,17,3.4
2019,166627041,9060219,24,4.0
2017,166627389,9060343,11,3.5
2015,166578289,9060385,13,4.0
2018,166630377,9060700,22,3.4
2014,166631907,9061836,23,4.2
2019,166674396,9061990,18,3.8
2018,166661593,9061990,345,4.0
2017,166685704,9061990,11,3.8
2018,166712721,9064836,12,3.3
2017,166705323,9064960,30,4.1
2020,167421517,9064983,44,3.9
2019,166641324,9064983,82,3.8
2019,166641610,9065101,10,3.3
2020,166653746,9065103,11,3.5
2019,166642827,9065593,14,4.2
2017,166679470,9069261,175,3.9
2019,166653397,9069437,258,3.7
